centro_nv2;nps_tradicional;nps_ajustado;delta;faixa_trad;faixa_ajust;mudou_faixa;flag;alerta
L5097-JUNDIAI (1404);83.75056895766954;83.75056895766954;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5098-AUTONOMISTAS (1405);88.27351485148515;88.27351485148515;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5099-VILA MATILDE (1421);85.72923935799022;85.72923935799022;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5100-INTERLAGOS (1431);85.91874422899353;85.91874422899353;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5101-CIDADE SAO FRANCISCO (1432);86.61800486618006;86.61800486618006;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5102-POMPEIA DESEMBARGADOR (1449);87.1569135163128;87.1569135163128;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5103-ATIBAIA (1454);84.75646422128683;84.75646422128683;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5105-DOM PEDRO I (1457);86.98092031425365;86.98092031425365;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5106-GUILHERMINA (1516);90.24304332511448;90.24304332511448;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5107-MANDAQUI (1521);81.1973018549747;81.1973018549747;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5108-MOGI DAS CRUZES (1527);87.74725274725274;87.74725274725274;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5109-SANTOS POMPEIA;83.46111719605696;83.46111719605696;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5111-VINHEDO;90.75286415711948;90.75286415711948;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5112-BAURU;88.54489164086688;88.54489164086688;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5113-ANASTACIO;83.86046511627907;83.86046511627907;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5114-106 ASA SUL;85.27284681130834;85.27284681130834;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5116-ENSEADA;89.14405010438414;89.14405010438414;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5117-NOVA GRANADA;88.11252268602541;88.11252268602541;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5118-ARACATUBA;91.3907284768212;91.3907284768212;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5119-AGUAS CLARAS (ARAUCARIAS);87.58647194465794;87.58647194465794;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5120-ITU;90.4417670682731;90.4417670682731;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5121-VILA MASCOTE;83.49514563106796;83.49514563106796;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5122-PONTE RASA;88.2280809319436;88.2280809319436;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5123-SAO VICENTE;87.99730276466622;87.99730276466622;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5124-BOTUCATU;90.4566744730679;90.4566744730679;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5126-CELSO GARCIA;88.94488188976378;88.94488188976378;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5127-SAO ROQUE;91.57287157287158;91.57287157287158;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5129-REAL PARQUE;89.17293233082707;89.17293233082707;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5130-TUPI;90.74012612014603;90.74012612014603;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5131-TAUBATE SAO GERALDO;89.84088127294982;89.84088127294982;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5132-CANTO DO FORTE;90.9967845659164;90.9967845659164;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
