centro_nv2;flag;uf;regiao;comentarios;comentarios_negativos;comentarios_negativos_longos;pct_negativo;severidade_media;severidade_p90;nps_tradicional;nps_textual;nps_hibrido;avaliacoes_ponderadas;linhas_avaliacao;transacoes;delta_textual_vs_tradicional;delta_hibrido_vs_tradicional;indice_prioridade;faixa_nps_tradicional;faixa_nps_textual;faixa_nps_hibrido;quadrante_risco;risco_oculto
L5048-SJC ANDROMEDA (1261);REGULAR;SP;Interior;311;30;11;9.65;25.920385852090032;64.68;73.31189710610933;64.95176848874597;70.41800643086816;1479.0;801.0;110203.0;-8.36;-2.89;41.89;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5290-SAO LOURENCO;REGULAR;SP;Litoral;210;27;7;12.86;24.363142857142858;71.94600000000001;77.61904761904762;68.0952380952381;71.42857142857143;676.0;377.0;31194.0;-9.52;-6.19;41.58;excelente;zona_qualidade;zona_qualidade;atencao_leve;False
L5181-RIBEIRAO PIRES;REGULAR;SP;RMSP;609;54;25;8.87;23.887471264367814;62.13000000000002;74.54844006568145;72.57799671592775;75.04105090311987;2774.0;1200.0;101308.0;-1.97;0.49;41.55;zona_qualidade;zona_qualidade;excelente;atencao_leve;False
L5130-TUPI;REGULAR;SP;Litoral;824;68;31;8.25;23.17559466019417;59.85900000000001;76.2135922330097;75.12135922330097;76.09223300970875;3013.0;1432.0;132440.0;-1.09;-0.12;41.12;excelente;excelente;excelente;atencao_leve;False
L5145-TAMBORE;REGULAR;SP;RMSP;225;25;8;11.11;25.624755555555556;71.262;74.66666666666667;65.33333333333333;72.88888888888889;706.0;550.0;61078.0;-9.33;-1.78;40.93;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5175-PARQUE SAO LUCAS;REGULAR;SP;Capital;609;51;16;8.37;24.41238095238095;58.49800000000005;75.04105090311987;70.60755336617406;72.57799671592775;2824.0;1210.0;160269.0;-4.43;-2.46;40.34;excelente;zona_qualidade;zona_qualidade;atencao_leve;False
L5146-ITATIBA;REGULAR;SP;Interior;502;44;15;8.76;24.879043824701196;59.973000000000035;77.68924302788844;69.12350597609563;72.50996015936255;2572.0;1060.0;84236.0;-8.57;-5.18;40.23;excelente;zona_qualidade;zona_qualidade;atencao_leve;False
L5106-GUILHERMINA (1516);REGULAR;SP;Litoral;820;69;23;8.41;23.69160975609756;61.28800000000001;79.02439024390245;73.65853658536585;76.46341463414635;2839.0;1434.0;129860.0;-5.37;-2.56;40.17;excelente;zona_qualidade;excelente;atencao_leve;False
L5135-402 ASA SUL;REGULAR;DF;DF;346;34;13;9.83;24.27797687861272;59.66;76.878612716763;69.07514450867052;73.69942196531792;1243.0;780.0;54598.0;-7.8;-3.18;39.8;excelente;zona_qualidade;zona_qualidade;atencao_leve;False
L5084-GUAIPA (1349);TOCADORA;SP;Capital;463;39;14;8.42;24.188488120950325;58.288000000000004;71.2742980561555;69.3304535637149;71.92224622030238;1386.0;937.0;103856.0;-1.94;0.65;39.27;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
